GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700021002014,G36004700021002011,0.0,0.079622132254
G36004700021002014,G36004700021002029,1.0,0.920377867746
G36004700021002015,G36004700021002011,0.0,0.659810126582
G36004700021002015,G36004700021002029,1.0,0.340189873418
G36004700021002016,G36004700021002012,0.0,0.858490566038
G36004700021002016,G36004700021002019,1.0,0.141509433962
G36004700021002017,G36004700021002012,0.0,0.055822608156
G36004700021002017,G36004700021002019,1.0,0.944177391844
G36004700021002018,G36004700021002018,1.0,1.0
G36004700021002019,G36004700021002017,1.0,1.0
G36004700021002020,G36004700021002011,0.23611805903,0.23611805903
G36004700021002020,G36004700021002028,0.76388194097,0.76388194097
G36004700021002021,G36004700021002012,0.809782608696,0.809782608696
G36004700021002021,G36004700021002020,0.190217391304,0.190217391304
G36004700021002022,G36004700021002012,0.0,0.81146025878
G36004700021002022,G36004700021002019,1.0,0.18853974122
G36004700021002023,G36004700021002011,0.06862745098,0.06862745098
G36004700021002023,G36004700021002027,0.793504901961,0.793504901961
G36004700021002023,G36004700021002028,0.137867647059,0.137867647059
G36004700021002024,G36004700021002022,0.068695895001,0.068695895001
G36004700021002024,G36004700021002025,0.697012007819,0.697012007819
G36004700021002024,G36004700021002026,0.23429209718,0.23429209718
G36004700021002025,G36004700021002012,0.195890410959,0.195890410959
G36004700021002025,G36004700021002020,0.804109589041,0.804109589041
G36004700021002026,G36004700021002020,1.0,1.0
G36004700021002027,G36004700021002021,1.0,1.0
G36004700021002028,G36004700021002021,0.023691746941,0.023691746941
G36004700021002028,G36004700021002022,0.105180942463,0.105180942463
G36004700021002028,G36004700021002023,0.871127310596,0.871127310596
G36004700021002029,G36004700021002022,0.115126484254,0.115126484254
G36004700021002029,G36004700021002024,0.884873515746,0.884873515746
G36004700021003000,G36004700021003000,1.0,1.0
G36004700021003001,G36004700021003000,1.0,1.0
G36004700021003002,G36004700021003000,1.0,1.0
G36004700021003003,G36004700021003000,1.0,1.0
